"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"248","Toeplitz",30,20,0.505,0.2116,0.5452,0.6985
"249","Toeplitz",30,20,0.7525,0.6594,0.9523,0.9852
"250","Toeplitz",30,20,1,0.9783,0.9995,1
"251","Toeplitz",30,30,0.01,0.0558,0.0295,0.0299
"252","Toeplitz",30,30,0.2575,0.061,0.0778,0.1296
"253","Toeplitz",30,30,0.505,0.1351,0.5044,0.667
"254","Toeplitz",30,30,0.7525,0.3847,0.9316,0.9774
"255","Toeplitz",30,30,1,0.8293,0.9985,1
"256","Toeplitz",30,50,0.01,0.0523,0.0223,0.0232
"257","Toeplitz",30,50,0.2575,0.058,0.0638,0.1101
"258","Toeplitz",30,50,0.505,0.0886,0.4323,0.6179
"259","Toeplitz",30,50,0.7525,0.1714,0.8994,0.9658
"260","Toeplitz",30,50,1,0.4399,0.9972,1
"261","Toeplitz",40,10,0.01,0.0501,0.0359,0.0367
"262","Toeplitz",40,10,0.2575,0.1433,0.1976,0.2698
"263","Toeplitz",40,10,0.505,0.6769,0.8109,0.8869
"264","Toeplitz",40,10,0.7525,0.9954,0.9985,0.9997
"265","Toeplitz",40,10,1,1,1,1
"266","Toeplitz",40,20,0.01,0.0524,0.0296,0.0292
"267","Toeplitz",40,20,0.2575,0.0932,0.153,0.2298
"268","Toeplitz",40,20,0.505,0.3131,0.7493,0.8571
"269","Toeplitz",40,20,0.7525,0.8753,0.9956,0.9994
"270","Toeplitz",40,20,1,0.9997,1,1
"271","Toeplitz",40,30,0.01,0.0549,0.0277,0.0252
"272","Toeplitz",40,30,0.2575,0.0744,0.12,0.1934
"273","Toeplitz",40,30,0.505,0.1747,0.7033,0.8264
"274","Toeplitz",40,30,0.7525,0.593,0.9909,0.9984
"275","Toeplitz",40,30,1,0.9785,1,1
"276","Toeplitz",40,50,0.01,0.0494,0.0205,0.0203
"277","Toeplitz",40,50,0.2575,0.0596,0.0963,0.1633
"278","Toeplitz",40,50,0.505,0.1094,0.6532,0.7892
"279","Toeplitz",40,50,0.7525,0.2563,0.9836,0.9978
"280","Toeplitz",40,50,1,0.681,0.9999,1
"281","Toeplitz",50,10,0.01,0.047,0.0359,0.0355
"282","Toeplitz",50,10,0.2575,0.177,0.2674,0.3561
"283","Toeplitz",50,10,0.505,0.8238,0.914,0.9571
"284","Toeplitz",50,10,0.7525,0.9998,0.9997,1
"285","Toeplitz",50,10,1,1,1,1
"286","Toeplitz",50,20,0.01,0.0506,0.0318,0.033
"287","Toeplitz",50,20,0.2575,0.09,0.2031,0.2939
"288","Toeplitz",50,20,0.505,0.4221,0.8741,0.9397
"289","Toeplitz",50,20,0.7525,0.9748,0.9991,1
"290","Toeplitz",50,20,1,1,1,1
"291","Toeplitz",50,30,0.01,0.0519,0.0269,0.0262
"292","Toeplitz",50,30,0.2575,0.0741,0.1748,0.2679
"293","Toeplitz",50,30,0.505,0.2297,0.8404,0.9205
"294","Toeplitz",50,30,0.7525,0.7897,0.9993,1
"295","Toeplitz",50,30,1,0.9992,1,1
"296","Toeplitz",50,50,0.01,0.0479,0.0229,0.0192
"297","Toeplitz",50,50,0.2575,0.0652,0.14,0.2254
"298","Toeplitz",50,50,0.505,0.124,0.807,0.8965
"299","Toeplitz",50,50,0.7525,0.3643,0.9986,0.9997
"300","Toeplitz",50,50,1,0.8951,1,1
