"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"160","AR(2)",30,50,0.1,1,1,1
"161","AR(2)",40,10,0.01,0.0532,0.0387,0.1836
"162","AR(2)",40,10,0.03,0.0758,0.0581,0.22
"163","AR(2)",40,10,0.05,0.2171,0.144,0.387
"164","AR(2)",40,10,0.07,0.6507,0.5375,0.793
"165","AR(2)",40,10,0.1,0.9993,0.9987,1
"166","AR(2)",40,20,0.01,0.0554,0.0343,0.1859
"167","AR(2)",40,20,0.03,0.4677,0.3193,0.6365
"168","AR(2)",40,20,0.05,0.9997,0.9994,0.9999
"169","AR(2)",40,20,0.07,1,1,1
"170","AR(2)",40,20,0.1,1,1,1
"171","AR(2)",40,30,0.01,0.0708,0.0353,0.2048
"172","AR(2)",40,30,0.03,0.9945,0.9822,0.9988
"173","AR(2)",40,30,0.05,1,1,1
"174","AR(2)",40,30,0.07,1,1,1
"175","AR(2)",40,30,0.1,1,1,1
"176","AR(2)",40,50,0.01,0.2641,0.1255,0.409
"177","AR(2)",40,50,0.03,1,1,1
"178","AR(2)",40,50,0.05,1,1,1
"179","AR(2)",40,50,0.07,1,1,1
"180","AR(2)",40,50,0.1,1,1,1
"181","AR(2)",50,10,0.01,0.0535,0.042,0.1802
"182","AR(2)",50,10,0.03,0.0798,0.0546,0.2163
"183","AR(2)",50,10,0.05,0.263,0.1841,0.442
"184","AR(2)",50,10,0.07,0.7669,0.672,0.8789
"185","AR(2)",50,10,0.1,1,0.9998,1
"186","AR(2)",50,20,0.01,0.058,0.0377,0.1875
"187","AR(2)",50,20,0.03,0.5518,0.4003,0.7085
"188","AR(2)",50,20,0.05,1,0.9998,1
"189","AR(2)",50,20,0.07,1,1,1
"190","AR(2)",50,20,0.1,1,1,1
"191","AR(2)",50,30,0.01,0.0842,0.0415,0.2153
"192","AR(2)",50,30,0.03,0.999,0.9958,0.9996
"193","AR(2)",50,30,0.05,1,1,1
"194","AR(2)",50,30,0.07,1,1,1
"195","AR(2)",50,30,0.1,1,1,1
"196","AR(2)",50,50,0.01,0.3339,0.1734,0.469
"197","AR(2)",50,50,0.03,1,1,1
"198","AR(2)",50,50,0.05,1,1,1
"199","AR(2)",50,50,0.07,1,1,1
"200","AR(2)",50,50,0.1,1,1,1
"201","Toeplitz",10,10,0.01,0.0541,0.0421,0.1739
"202","Toeplitz",10,10,0.03,0.0539,0.0462,0.1755
"203","Toeplitz",10,10,0.05,0.078,0.0565,0.204
"204","Toeplitz",10,10,0.07,0.1338,0.0846,0.2725
"205","Toeplitz",10,10,0.1,0.3922,0.2529,0.5358
"206","Toeplitz",10,20,0.01,0.055,0.0385,0.1763
"207","Toeplitz",10,20,0.03,0.1027,0.0589,0.2329
"208","Toeplitz",10,20,0.05,0.4467,0.2591,0.5658
"209","Toeplitz",10,20,0.07,0.9473,0.7995,0.9578
"210","Toeplitz",10,20,0.1,1,1,1
"211","Toeplitz",10,30,0.01,0.0581,0.0352,0.1768
"212","Toeplitz",10,30,0.03,0.3193,0.1634,0.4399
"213","Toeplitz",10,30,0.05,0.9881,0.8938,0.9855
"214","Toeplitz",10,30,0.07,1,1,1
"215","Toeplitz",10,30,0.1,1,1,1
"216","Toeplitz",10,50,0.01,0.0843,0.0417,0.1995
"217","Toeplitz",10,50,0.03,0.9882,0.872,0.9836
"218","Toeplitz",10,50,0.05,1,1,1
"219","Toeplitz",10,50,0.07,1,1,1
"220","Toeplitz",10,50,0.1,1,1,1
"221","Toeplitz",20,10,0.01,0.0477,0.0381,0.1431
"222","Toeplitz",20,10,0.03,0.0599,0.0433,0.1586
"223","Toeplitz",20,10,0.05,0.1015,0.0693,0.2032
"224","Toeplitz",20,10,0.07,0.2362,0.155,0.3578
"225","Toeplitz",20,10,0.1,0.7256,0.5984,0.8033
"226","Toeplitz",20,20,0.01,0.0528,0.0345,0.1375
"227","Toeplitz",20,20,0.03,0.1524,0.0819,0.2505
"228","Toeplitz",20,20,0.05,0.7737,0.6057,0.8259
"229","Toeplitz",20,20,0.07,0.9998,0.9988,0.9999
"230","Toeplitz",20,20,0.1,1,1,1
"231","Toeplitz",20,30,0.01,0.0565,0.0338,0.1413
"232","Toeplitz",20,30,0.03,0.601,0.3946,0.6618
"233","Toeplitz",20,30,0.05,1,1,1
"234","Toeplitz",20,30,0.07,1,1,1
"235","Toeplitz",20,30,0.1,1,1,1
"236","Toeplitz",20,50,0.01,0.1044,0.0402,0.1816
"237","Toeplitz",20,50,0.03,1,0.9999,1
"238","Toeplitz",20,50,0.05,1,1,1
"239","Toeplitz",20,50,0.07,1,1,1
"240","Toeplitz",20,50,0.1,1,1,1
"241","Toeplitz",30,10,0.01,0.0503,0.0394,0.1336
"242","Toeplitz",30,10,0.03,0.0587,0.0439,0.1425
"243","Toeplitz",30,10,0.05,0.1265,0.0865,0.2233
"244","Toeplitz",30,10,0.07,0.3363,0.2324,0.4527
"245","Toeplitz",30,10,0.1,0.8956,0.8265,0.9325
"246","Toeplitz",30,20,0.01,0.0555,0.0347,0.1329
"247","Toeplitz",30,20,0.03,0.2204,0.1285,0.306
