"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp"
"209","Toeplitz",10,20,0.7525,0.175,0.2243
"210","Toeplitz",10,20,1,0.3526,0.4764
"211","Toeplitz",10,30,0.01,0.0541,0.0373
"212","Toeplitz",10,30,0.2575,0.0604,0.0429
"213","Toeplitz",10,30,0.505,0.0815,0.0799
"214","Toeplitz",10,30,0.7525,0.1233,0.1959
"215","Toeplitz",10,30,1,0.2208,0.4033
"216","Toeplitz",10,50,0.01,0.0519,0.0295
"217","Toeplitz",10,50,0.2575,0.058,0.0365
"218","Toeplitz",10,50,0.505,0.0664,0.0645
"219","Toeplitz",10,50,0.7525,0.0897,0.1511
"220","Toeplitz",10,50,1,0.1265,0.333
"221","Toeplitz",20,10,0.01,0.0532,0.0409
"222","Toeplitz",20,10,0.2575,0.0926,0.0935
"223","Toeplitz",20,10,0.505,0.3049,0.385
"224","Toeplitz",20,10,0.7525,0.7376,0.8035
"225","Toeplitz",20,10,1,0.9762,0.9798
"226","Toeplitz",20,20,0.01,0.0574,0.0342
"227","Toeplitz",20,20,0.2575,0.068,0.065
"228","Toeplitz",20,20,0.505,0.1538,0.3006
"229","Toeplitz",20,20,0.7525,0.3831,0.7301
"230","Toeplitz",20,20,1,0.7852,0.9599
"231","Toeplitz",20,30,0.01,0.0543,0.0296
"232","Toeplitz",20,30,0.2575,0.0629,0.0545
"233","Toeplitz",20,30,0.505,0.1039,0.2548
"234","Toeplitz",20,30,0.7525,0.2177,0.6711
"235","Toeplitz",20,30,1,0.503,0.9408
"236","Toeplitz",20,50,0.01,0.0531,0.0244
"237","Toeplitz",20,50,0.2575,0.0563,0.0397
"238","Toeplitz",20,50,0.505,0.0742,0.2008
"239","Toeplitz",20,50,0.7525,0.1213,0.6056
"240","Toeplitz",20,50,1,0.2356,0.9168
"241","Toeplitz",30,10,0.01,0.0499,0.0372
"242","Toeplitz",30,10,0.2575,0.1206,0.1424
"243","Toeplitz",30,10,0.505,0.4841,0.6332
"244","Toeplitz",30,10,0.7525,0.9468,0.9714
"245","Toeplitz",30,10,1,0.9997,0.9998
"246","Toeplitz",30,20,0.01,0.0496,0.031
"247","Toeplitz",30,20,0.2575,0.0764,0.1062
"248","Toeplitz",30,20,0.505,0.218,0.5567
"249","Toeplitz",30,20,0.7525,0.654,0.9521
"250","Toeplitz",30,20,1,0.9781,0.9995
"251","Toeplitz",30,30,0.01,0.0514,0.028
"252","Toeplitz",30,30,0.2575,0.0639,0.0773
"253","Toeplitz",30,30,0.505,0.1346,0.4955
"254","Toeplitz",30,30,0.7525,0.3714,0.9309
"255","Toeplitz",30,30,1,0.8284,0.9988
"256","Toeplitz",30,50,0.01,0.0525,0.0224
"257","Toeplitz",30,50,0.2575,0.0601,0.0621
"258","Toeplitz",30,50,0.505,0.0914,0.4265
"259","Toeplitz",30,50,0.7525,0.1732,0.903
"260","Toeplitz",30,50,1,0.4268,0.9976
"261","Toeplitz",40,10,0.01,0.05,0.037
"262","Toeplitz",40,10,0.2575,0.1506,0.1956
"263","Toeplitz",40,10,0.505,0.6761,0.8151
"264","Toeplitz",40,10,0.7525,0.9954,0.9969
"265","Toeplitz",40,10,1,1,1
"266","Toeplitz",40,20,0.01,0.0505,0.0324
"267","Toeplitz",40,20,0.2575,0.084,0.1493
"268","Toeplitz",40,20,0.505,0.2982,0.7492
"269","Toeplitz",40,20,0.7525,0.873,0.9926
"270","Toeplitz",40,20,1,0.9992,1
"271","Toeplitz",40,30,0.01,0.0518,0.0273
"272","Toeplitz",40,30,0.2575,0.072,0.1208
"273","Toeplitz",40,30,0.505,0.1762,0.7086
"274","Toeplitz",40,30,0.7525,0.5846,0.9914
"275","Toeplitz",40,30,1,0.9788,1
"276","Toeplitz",40,50,0.01,0.0539,0.0252
"277","Toeplitz",40,50,0.2575,0.0615,0.09
"278","Toeplitz",40,50,0.505,0.1062,0.6523
"279","Toeplitz",40,50,0.7525,0.2535,0.9833
"280","Toeplitz",40,50,1,0.6881,1
"281","Toeplitz",50,10,0.01,0.0485,0.0378
"282","Toeplitz",50,10,0.2575,0.1713,0.2683
"283","Toeplitz",50,10,0.505,0.8271,0.9169
"284","Toeplitz",50,10,0.7525,0.9999,1
"285","Toeplitz",50,10,1,1,1
"286","Toeplitz",50,20,0.01,0.0456,0.0264
"287","Toeplitz",50,20,0.2575,0.0977,0.2033
"288","Toeplitz",50,20,0.505,0.4187,0.874
"289","Toeplitz",50,20,0.7525,0.9737,0.9996
"290","Toeplitz",50,20,1,1,1
"291","Toeplitz",50,30,0.01,0.0486,0.0242
"292","Toeplitz",50,30,0.2575,0.0759,0.1641
"293","Toeplitz",50,30,0.505,0.2324,0.8496
"294","Toeplitz",50,30,0.7525,0.7957,0.9994
"295","Toeplitz",50,30,1,0.9991,1
"296","Toeplitz",50,50,0.01,0.0524,0.0253
"297","Toeplitz",50,50,0.2575,0.0624,0.1329
"298","Toeplitz",50,50,0.505,0.1175,0.806
"299","Toeplitz",50,50,0.7525,0.3705,0.998
"300","Toeplitz",50,50,1,0.8898,1
