"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified","powers_cauchy","powers_fisher"
"104","AR(2)",10,10,0.07,0.3887,0.2269,0.323,0.0447,0.6221
"105","AR(2)",10,10,0.1,0.6616,0.4399,0.5747,0.0096,0.8405
"106","AR(2)",10,20,0.01,0.0827,0.0559,0.0674,0.2531,0.2224
"107","AR(2)",10,20,0.03,0.3123,0.1615,0.2331,0.1063,0.5093
"108","AR(2)",10,20,0.05,0.6877,0.4199,0.5718,0.0169,0.8444
"109","AR(2)",10,20,0.07,0.9282,0.7285,0.8617,6e-04,0.9782
"110","AR(2)",10,20,0.1,0.9975,0.9629,0.9924,0,0.9998
"111","AR(2)",10,30,0.01,0.1134,0.0559,0.0741,0.2895,0.2499
"112","AR(2)",10,30,0.03,0.6106,0.3259,0.463,0.0432,0.7725
"113","AR(2)",10,30,0.05,0.9572,0.7594,0.8971,0.0011,0.986
"114","AR(2)",10,30,0.07,0.9996,0.9708,0.9948,0,0.9999
"115","AR(2)",10,30,0.1,1,0.9999,1,0,1
"116","AR(2)",10,50,0.01,0.234,0.0971,0.1431,0.2606,0.386
"117","AR(2)",10,50,0.03,0.9621,0.7234,0.8766,0.003,0.9842
"118","AR(2)",10,50,0.05,1,0.9935,0.9997,0,1
"119","AR(2)",10,50,0.07,1,1,1,0,1
"120","AR(2)",10,50,0.1,1,1,1,0,1
"121","AR(2)",20,10,0.01,0.0634,0.0467,0.054,0.181,0.1993
"122","AR(2)",20,10,0.03,0.1889,0.1164,0.1503,0.1061,0.3782
"123","AR(2)",20,10,0.05,0.4247,0.2705,0.3437,0.0365,0.6302
"124","AR(2)",20,10,0.07,0.7002,0.5215,0.614,0.0065,0.861
"125","AR(2)",20,10,0.1,0.9459,0.8455,0.9047,4e-04,0.9824
"126","AR(2)",20,20,0.01,0.1152,0.0624,0.078,0.2323,0.2489
"127","AR(2)",20,20,0.03,0.5924,0.375,0.47,0.0361,0.7543
"128","AR(2)",20,20,0.05,0.9556,0.8441,0.9138,5e-04,0.986
"129","AR(2)",20,20,0.07,0.9996,0.9921,0.9978,0,1
"130","AR(2)",20,20,0.1,1,1,1,0,1
"131","AR(2)",20,30,0.01,0.1845,0.0897,0.117,0.2351,0.3352
