"","covariance_structures","variances","sample_sizes","power_global","power_max"
"152","Unstructured",8,71,"0.067","0.055"
"153","Unstructured",8,81,"0.049","0.054"
"154","Unstructured",8,91,"0.064","0.055"
"155","Unstructured",9,3,"0","0.633"
"156","Unstructured",9,4,"0.032","0.062"
"157","Unstructured",9,5,"0.04","0.044"
"158","Unstructured",9,6,"0.045","0.057"
"159","Unstructured",9,7,"0.068","0.051"
"160","Unstructured",9,8,"0.067","0.06"
"161","Unstructured",9,9,"0.054","0.053"
"162","Unstructured",9,10,"0.051","0.041"
"163","Unstructured",9,11,"0.069","0.039"
"164","Unstructured",9,21,"0.048","0.043"
"165","Unstructured",9,31,"0.052","0.041"
"166","Unstructured",9,41,"0.054","0.049"
"167","Unstructured",9,51,"0.046","0.039"
"168","Unstructured",9,61,"0.06","0.052"
"169","Unstructured",9,71,"0.049","0.049"
"170","Unstructured",9,81,"0.063","0.054"
"171","Unstructured",9,91,"0.064","0.063"
"172","Unstructured",10,3,"0","0.605"
"173","Unstructured",10,4,"0.039","0.061"
"174","Unstructured",10,5,"0.043","0.056"
"175","Unstructured",10,6,"0.04","0.055"
"176","Unstructured",10,7,"0.066","0.065"
"177","Unstructured",10,8,"0.048","0.05"
"178","Unstructured",10,9,"0.048","0.052"
"179","Unstructured",10,10,"0.048","0.052"
"180","Unstructured",10,11,"0.051","0.053"
"181","Unstructured",10,21,"0.06","0.05"
"182","Unstructured",10,31,"0.046","0.042"
"183","Unstructured",10,41,"0.056","0.049"
"184","Unstructured",10,51,"0.051","0.043"
"185","Unstructured",10,61,"0.046","0.037"
"186","Unstructured",10,71,"0.054","0.053"
"187","Unstructured",10,81,"0.057","0.061"
"188","Unstructured",10,91,"0.059","0.058"
"189","AR(1)",0,3,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"190","AR(1)",0,4,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"191","AR(1)",0,5,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"192","AR(1)",0,6,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"193","AR(1)",0,7,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"194","AR(1)",0,8,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"195","AR(1)",0,9,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"196","AR(1)",0,10,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"197","AR(1)",0,11,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"198","AR(1)",0,21,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"199","AR(1)",0,31,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"200","AR(1)",0,41,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"201","AR(1)",0,51,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"202","AR(1)",0,61,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"203","AR(1)",0,71,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"204","AR(1)",0,81,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"205","AR(1)",0,91,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"206","AR(1)",1,3,"0","0.824"
"207","AR(1)",1,4,"0.369","0.169"
"208","AR(1)",1,5,"0.551","0.291"
"209","AR(1)",1,6,"0.714","0.47"
"210","AR(1)",1,7,"0.811","0.638"
"211","AR(1)",1,8,"0.905","0.83"
"212","AR(1)",1,9,"0.955","0.922"
"213","AR(1)",1,10,"0.977","0.965"
"214","AR(1)",1,11,"0.99","0.984"
"215","AR(1)",1,21,"1","1"
"216","AR(1)",1,31,"1","1"
"217","AR(1)",1,41,"1","1"
"218","AR(1)",1,51,"1","1"
"219","AR(1)",1,61,"1","1"
"220","AR(1)",1,71,"1","1"
"221","AR(1)",1,81,"1","1"
"222","AR(1)",1,91,"1","1"
"223","AR(1)",2,3,"0.001","0.76"
"224","AR(1)",2,4,"0.154","0.113"
"225","AR(1)",2,5,"0.244","0.179"
"226","AR(1)",2,6,"0.349","0.246"
"227","AR(1)",2,7,"0.44","0.367"
"228","AR(1)",2,8,"0.507","0.444"
"229","AR(1)",2,9,"0.619","0.601"
"230","AR(1)",2,10,"0.684","0.691"
"231","AR(1)",2,11,"0.715","0.745"
"232","AR(1)",2,21,"0.986","0.995"
"233","AR(1)",2,31,"1","1"
"234","AR(1)",2,41,"1","1"
"235","AR(1)",2,51,"1","1"
"236","AR(1)",2,61,"1","1"
"237","AR(1)",2,71,"1","1"
"238","AR(1)",2,81,"1","1"
"239","AR(1)",2,91,"1","1"
"240","AR(1)",3,3,"0","0.715"
"241","AR(1)",3,4,"0.111","0.087"
"242","AR(1)",3,5,"0.196","0.118"
"243","AR(1)",3,6,"0.23","0.175"
"244","AR(1)",3,7,"0.283","0.254"
"245","AR(1)",3,8,"0.293","0.292"
"246","AR(1)",3,9,"0.388","0.388"
"247","AR(1)",3,10,"0.408","0.436"
"248","AR(1)",3,11,"0.455","0.52"
"249","AR(1)",3,21,"0.889","0.965"
"250","AR(1)",3,31,"0.995","1"
"251","AR(1)",3,41,"0.998","1"
"252","AR(1)",3,51,"1","1"
"253","AR(1)",3,61,"1","1"
"254","AR(1)",3,71,"1","1"
"255","AR(1)",3,81,"1","1"
"256","AR(1)",3,91,"1","1"
"257","AR(1)",4,3,"0","0.69"
"258","AR(1)",4,4,"0.086","0.068"
"259","AR(1)",4,5,"0.153","0.113"
"260","AR(1)",4,6,"0.169","0.136"
"261","AR(1)",4,7,"0.187","0.157"
"262","AR(1)",4,8,"0.247","0.245"
"263","AR(1)",4,9,"0.263","0.266"
"264","AR(1)",4,10,"0.316","0.338"
"265","AR(1)",4,11,"0.365","0.377"
"266","AR(1)",4,21,"0.745","0.873"
"267","AR(1)",4,31,"0.935","0.985"
"268","AR(1)",4,41,"0.984","0.999"
"269","AR(1)",4,51,"1","1"
"270","AR(1)",4,61,"1","1"
"271","AR(1)",4,71,"1","1"
"272","AR(1)",4,81,"1","1"
"273","AR(1)",4,91,"1","1"
"274","AR(1)",5,3,"0","0.66"
"275","AR(1)",5,4,"0.084","0.069"
"276","AR(1)",5,5,"0.123","0.089"
"277","AR(1)",5,6,"0.12","0.113"
"278","AR(1)",5,7,"0.154","0.141"
"279","AR(1)",5,8,"0.186","0.154"
