"","covariance_structures","variances","sample_sizes","power_global","power_max"
"575","Toeplitz",0,51,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"576","Toeplitz",0,61,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"577","Toeplitz",0,71,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"578","Toeplitz",0,81,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"579","Toeplitz",0,91,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"580","Toeplitz",1,3,"0","0.836"
"581","Toeplitz",1,4,"0.495","0.242"
"582","Toeplitz",1,5,"0.73","0.529"
"583","Toeplitz",1,6,"0.834","0.754"
"584","Toeplitz",1,7,"0.909","0.888"
"585","Toeplitz",1,8,"0.956","0.97"
"586","Toeplitz",1,9,"0.985","0.993"
"587","Toeplitz",1,10,"0.993","0.999"
"588","Toeplitz",1,11,"0.998","1"
"589","Toeplitz",1,21,"1","1"
"590","Toeplitz",1,31,"1","1"
"591","Toeplitz",1,41,"1","1"
"592","Toeplitz",1,51,"1","1"
"593","Toeplitz",1,61,"1","1"
"594","Toeplitz",1,71,"1","1"
"595","Toeplitz",1,81,"1","1"
"596","Toeplitz",1,91,"1","1"
"597","Toeplitz",2,3,"0","0.721"
"598","Toeplitz",2,4,"0.245","0.14"
"599","Toeplitz",2,5,"0.358","0.269"
"600","Toeplitz",2,6,"0.478","0.394"
"601","Toeplitz",2,7,"0.589","0.607"
"602","Toeplitz",2,8,"0.675","0.741"
"603","Toeplitz",2,9,"0.743","0.85"
"604","Toeplitz",2,10,"0.818","0.928"
"605","Toeplitz",2,11,"0.885","0.968"
"606","Toeplitz",2,21,"1","1"
"607","Toeplitz",2,31,"1","1"
"608","Toeplitz",2,41,"1","1"
"609","Toeplitz",2,51,"1","1"
"610","Toeplitz",2,61,"1","1"
"611","Toeplitz",2,71,"1","1"
"612","Toeplitz",2,81,"1","1"
"613","Toeplitz",2,91,"1","1"
"614","Toeplitz",3,3,"0","0.669"
"615","Toeplitz",3,4,"0.161","0.114"
"616","Toeplitz",3,5,"0.242","0.174"
"617","Toeplitz",3,6,"0.288","0.281"
"618","Toeplitz",3,7,"0.4","0.403"
"619","Toeplitz",3,8,"0.45","0.508"
"620","Toeplitz",3,9,"0.515","0.626"
"621","Toeplitz",3,10,"0.556","0.763"
"622","Toeplitz",3,11,"0.606","0.831"
"623","Toeplitz",3,21,"0.979","1"
"624","Toeplitz",3,31,"1","1"
"625","Toeplitz",3,41,"1","1"
"626","Toeplitz",3,51,"1","1"
"627","Toeplitz",3,61,"1","1"
"628","Toeplitz",3,71,"1","1"
"629","Toeplitz",3,81,"1","1"
"630","Toeplitz",3,91,"1","1"
"631","Toeplitz",4,3,"0","0.611"
"632","Toeplitz",4,4,"0.118","0.102"
"633","Toeplitz",4,5,"0.184","0.133"
"634","Toeplitz",4,6,"0.208","0.186"
"635","Toeplitz",4,7,"0.26","0.29"
"636","Toeplitz",4,8,"0.277","0.369"
"637","Toeplitz",4,9,"0.329","0.478"
"638","Toeplitz",4,10,"0.409","0.593"
"639","Toeplitz",4,11,"0.459","0.698"
"640","Toeplitz",4,21,"0.886","0.996"
"641","Toeplitz",4,31,"0.998","1"
"642","Toeplitz",4,41,"1","1"
"643","Toeplitz",4,51,"1","1"
"644","Toeplitz",4,61,"1","1"
"645","Toeplitz",4,71,"1","1"
"646","Toeplitz",4,81,"1","1"
"647","Toeplitz",4,91,"1","1"
"648","Toeplitz",5,3,"0","0.583"
"649","Toeplitz",5,4,"0.106","0.07"
"650","Toeplitz",5,5,"0.129","0.109"
"651","Toeplitz",5,6,"0.171","0.135"
"652","Toeplitz",5,7,"0.201","0.21"
"653","Toeplitz",5,8,"0.238","0.285"
"654","Toeplitz",5,9,"0.234","0.365"
"655","Toeplitz",5,10,"0.285","0.475"
"656","Toeplitz",5,11,"0.342","0.554"
"657","Toeplitz",5,21,"0.739","0.975"
"658","Toeplitz",5,31,"0.963","0.999"
"659","Toeplitz",5,41,"1","1"
"660","Toeplitz",5,51,"1","1"
"661","Toeplitz",5,61,"1","1"
"662","Toeplitz",5,71,"1","1"
"663","Toeplitz",5,81,"1","1"
"664","Toeplitz",5,91,"1","1"
"665","Toeplitz",6,3,"0","0.575"
"666","Toeplitz",6,4,"0.098","0.109"
"667","Toeplitz",6,5,"0.126","0.111"
"668","Toeplitz",6,6,"0.155","0.138"
"669","Toeplitz",6,7,"0.18","0.196"
"670","Toeplitz",6,8,"0.175","0.23"
"671","Toeplitz",6,9,"0.233","0.322"
"672","Toeplitz",6,10,"0.216","0.352"
"673","Toeplitz",6,11,"0.246","0.434"
"674","Toeplitz",6,21,"0.577","0.928"
"675","Toeplitz",6,31,"0.892","0.998"
"676","Toeplitz",6,41,"0.984","1"
"677","Toeplitz",6,51,"1","1"
"678","Toeplitz",6,61,"1","1"
"679","Toeplitz",6,71,"1","1"
"680","Toeplitz",6,81,"1","1"
"681","Toeplitz",6,91,"1","1"
"682","Toeplitz",7,3,"0","0.585"
"683","Toeplitz",7,4,"0.085","0.083"
"684","Toeplitz",7,5,"0.119","0.097"
"685","Toeplitz",7,6,"0.125","0.126"
"686","Toeplitz",7,7,"0.139","0.16"
"687","Toeplitz",7,8,"0.169","0.203"
"688","Toeplitz",7,9,"0.194","0.248"
"689","Toeplitz",7,10,"0.191","0.34"
"690","Toeplitz",7,11,"0.216","0.384"
"691","Toeplitz",7,21,"0.496","0.88"
"692","Toeplitz",7,31,"0.762","0.992"
"693","Toeplitz",7,41,"0.948","1"
"694","Toeplitz",7,51,"0.996","1"
"695","Toeplitz",7,61,"1","1"
"696","Toeplitz",7,71,"1","1"
"697","Toeplitz",7,81,"1","1"
"698","Toeplitz",7,91,"1","1"
"699","Toeplitz",8,3,"0","0.565"
"700","Toeplitz",8,4,"0.072","0.082"
"701","Toeplitz",8,5,"0.105","0.105"
"702","Toeplitz",8,6,"0.118","0.122"
"703","Toeplitz",8,7,"0.129","0.137"
"704","Toeplitz",8,8,"0.138","0.15"
"705","Toeplitz",8,9,"0.153","0.221"
"706","Toeplitz",8,10,"0.16","0.272"
"707","Toeplitz",8,11,"0.176","0.316"
"708","Toeplitz",8,21,"0.389","0.814"
"709","Toeplitz",8,31,"0.678","0.968"
"710","Toeplitz",8,41,"0.879","1"
"711","Toeplitz",8,51,"0.98","1"
"712","Toeplitz",8,61,"0.998","1"
"713","Toeplitz",8,71,"1","1"
"714","Toeplitz",8,81,"1","1"
"715","Toeplitz",8,91,"1","1"
"716","Toeplitz",9,3,"0","0.566"
"717","Toeplitz",9,4,"0.054","0.064"
"718","Toeplitz",9,5,"0.092","0.088"
"719","Toeplitz",9,6,"0.105","0.109"
"720","Toeplitz",9,7,"0.123","0.127"
"721","Toeplitz",9,8,"0.146","0.151"
"722","Toeplitz",9,9,"0.139","0.182"
"723","Toeplitz",9,10,"0.142","0.251"
"724","Toeplitz",9,11,"0.129","0.242"
"725","Toeplitz",9,21,"0.315","0.759"
"726","Toeplitz",9,31,"0.571","0.935"
"727","Toeplitz",9,41,"0.792","0.994"
"728","Toeplitz",9,51,"0.943","0.999"
"729","Toeplitz",9,61,"0.993","1"
"730","Toeplitz",9,71,"1","1"
"731","Toeplitz",9,81,"1","1"
"732","Toeplitz",9,91,"1","1"
"733","Toeplitz",10,3,"0","0.548"
"734","Toeplitz",10,4,"0.07","0.071"
"735","Toeplitz",10,5,"0.083","0.076"
"736","Toeplitz",10,6,"0.093","0.084"
"737","Toeplitz",10,7,"0.095","0.101"
"738","Toeplitz",10,8,"0.119","0.135"
"739","Toeplitz",10,9,"0.127","0.15"
"740","Toeplitz",10,10,"0.14","0.229"
"741","Toeplitz",10,11,"0.15","0.264"
"742","Toeplitz",10,21,"0.262","0.669"
"743","Toeplitz",10,31,"0.507","0.922"
"744","Toeplitz",10,41,"0.699","0.985"
"745","Toeplitz",10,51,"0.883","1"
"746","Toeplitz",10,61,"0.979","1"
"747","Toeplitz",10,71,"0.998","1"
"748","Toeplitz",10,81,"1","1"
"749","Toeplitz",10,91,"1","1"
