"","covariance_structures","dimensions","sample_sizes","power_global","power_max"
"335","AR(1)",3,31,0.982,0.99
"336","AR(1)",3,41,0.996,1
"337","AR(1)",3,51,1,1
"338","AR(1)",3,61,1,1
"339","AR(1)",3,71,1,1
"340","AR(1)",3,81,1,1
"341","AR(1)",3,91,1,1
"342","AR(1)",4,3,0,0.337
"343","AR(1)",4,4,0.069,0.175
"344","AR(1)",4,5,0.17,0.142
"345","AR(1)",4,6,0.234,0.227
"346","AR(1)",4,7,0.27,0.284
"347","AR(1)",4,8,0.325,0.302
"348","AR(1)",4,9,0.376,0.394
"349","AR(1)",4,10,0.41,0.408
"350","AR(1)",4,11,0.459,0.475
"351","AR(1)",4,21,0.848,0.89
"352","AR(1)",4,31,0.964,0.983
"353","AR(1)",4,41,0.993,0.995
"354","AR(1)",4,51,1,1
"355","AR(1)",4,61,1,1
"356","AR(1)",4,71,1,1
"357","AR(1)",4,81,1,1
"358","AR(1)",4,91,1,1
"359","AR(1)",5,3,0,0.362
"360","AR(1)",5,4,0.082,0.157
"361","AR(1)",5,5,0.145,0.117
"362","AR(1)",5,6,0.193,0.153
"363","AR(1)",5,7,0.237,0.208
"364","AR(1)",5,8,0.274,0.252
"365","AR(1)",5,9,0.314,0.29
"366","AR(1)",5,10,0.339,0.359
"367","AR(1)",5,11,0.408,0.41
"368","AR(1)",5,21,0.773,0.842
"369","AR(1)",5,31,0.922,0.957
"370","AR(1)",5,41,0.987,0.988
"371","AR(1)",5,51,0.999,0.999
"372","AR(1)",5,61,1,1
"373","AR(1)",5,71,1,1
"374","AR(1)",5,81,1,1
"375","AR(1)",5,91,1,1
"376","AR(1)",6,3,0,0.386
"377","AR(1)",6,4,0.073,0.129
"378","AR(1)",6,5,0.135,0.101
"379","AR(1)",6,6,0.174,0.15
"380","AR(1)",6,7,0.217,0.179
"381","AR(1)",6,8,0.224,0.197
"382","AR(1)",6,9,0.251,0.226
"383","AR(1)",6,10,0.335,0.3
"384","AR(1)",6,11,0.376,0.349
"385","AR(1)",6,21,0.705,0.751
"386","AR(1)",6,31,0.884,0.919
"387","AR(1)",6,41,0.976,0.987
"388","AR(1)",6,51,0.996,0.997
"389","AR(1)",6,61,0.998,0.999
"390","AR(1)",6,71,1,1
"391","AR(1)",6,81,1,1
"392","AR(1)",6,91,1,1
"393","AR(1)",7,3,0,0.427
"394","AR(1)",7,4,0.084,0.123
"395","AR(1)",7,5,0.119,0.088
"396","AR(1)",7,6,0.151,0.132
"397","AR(1)",7,7,0.18,0.161
"398","AR(1)",7,8,0.209,0.195
"399","AR(1)",7,9,0.241,0.212
"400","AR(1)",7,10,0.303,0.297
"401","AR(1)",7,11,0.321,0.327
"402","AR(1)",7,21,0.66,0.726
"403","AR(1)",7,31,0.862,0.894
"404","AR(1)",7,41,0.952,0.972
"405","AR(1)",7,51,0.98,0.991
"406","AR(1)",7,61,1,1
"407","AR(1)",7,71,1,1
"408","AR(1)",7,81,1,1
"409","AR(1)",7,91,1,1
"410","AR(1)",8,3,0,0.421
"411","AR(1)",8,4,0.068,0.095
"412","AR(1)",8,5,0.135,0.086
"413","AR(1)",8,6,0.138,0.127
"414","AR(1)",8,7,0.179,0.147
"415","AR(1)",8,8,0.201,0.176
"416","AR(1)",8,9,0.234,0.208
"417","AR(1)",8,10,0.234,0.231
"418","AR(1)",8,11,0.277,0.272
"419","AR(1)",8,21,0.561,0.651
"420","AR(1)",8,31,0.812,0.882
"421","AR(1)",8,41,0.94,0.966
"422","AR(1)",8,51,0.982,0.992
"423","AR(1)",8,61,0.994,0.995
"424","AR(1)",8,71,0.998,1
"425","AR(1)",8,81,1,0.999
"426","AR(1)",8,91,1,1
"427","AR(1)",9,3,0,0.489
"428","AR(1)",9,4,0.087,0.106
"429","AR(1)",9,5,0.107,0.093
"430","AR(1)",9,6,0.121,0.12
"431","AR(1)",9,7,0.14,0.114
"432","AR(1)",9,8,0.198,0.166
"433","AR(1)",9,9,0.209,0.183
"434","AR(1)",9,10,0.214,0.202
"435","AR(1)",9,11,0.276,0.277
"436","AR(1)",9,21,0.576,0.666
"437","AR(1)",9,31,0.756,0.859
"438","AR(1)",9,41,0.917,0.961
"439","AR(1)",9,51,0.966,0.988
"440","AR(1)",9,61,0.992,0.999
"441","AR(1)",9,71,0.998,0.999
"442","AR(1)",9,81,0.999,1
"443","AR(1)",9,91,1,1
"444","AR(1)",10,3,0.001,0.492
"445","AR(1)",10,4,0.06,0.085
"446","AR(1)",10,5,0.099,0.084
"447","AR(1)",10,6,0.135,0.109
"448","AR(1)",10,7,0.153,0.123
"449","AR(1)",10,8,0.168,0.138
"450","AR(1)",10,9,0.165,0.165
"451","AR(1)",10,10,0.222,0.222
"452","AR(1)",10,11,0.241,0.262
"453","AR(1)",10,21,0.52,0.616
"454","AR(1)",10,31,0.751,0.849
"455","AR(1)",10,41,0.902,0.953
"456","AR(1)",10,51,0.956,0.984
"457","AR(1)",10,61,0.99,0.999
"458","AR(1)",10,71,0.996,1
"459","AR(1)",10,81,0.999,1
"460","AR(1)",10,91,1,1
"461","AR(1)",11,3,0,0.512
"462","AR(1)",11,4,0.051,0.09
"463","AR(1)",11,5,0.107,0.067
"464","AR(1)",11,6,0.125,0.105
"465","AR(1)",11,7,0.142,0.112
"466","AR(1)",11,8,0.168,0.12
"467","AR(1)",11,9,0.173,0.166
"468","AR(1)",11,10,0.201,0.184
"469","AR(1)",11,11,0.234,0.229
"470","AR(1)",11,21,0.497,0.588
"471","AR(1)",11,31,0.691,0.846
"472","AR(1)",11,41,0.856,0.948
"473","AR(1)",11,51,0.944,0.984
"474","AR(1)",11,61,0.983,0.998
"475","AR(1)",11,71,0.998,1
"476","AR(1)",11,81,0.997,1
"477","AR(1)",11,91,1,1
"478","AR(1)",21,3,0,0.701
"479","AR(1)",21,4,0.062,0.067
"480","AR(1)",21,5,0.085,0.082
"481","AR(1)",21,6,0.082,0.085
"482","AR(1)",21,7,0.083,0.075
"483","AR(1)",21,8,0.11,0.101
"484","AR(1)",21,9,0.151,0.129
"485","AR(1)",21,10,0.14,0.124
"486","AR(1)",21,11,0.168,0.148
"487","AR(1)",21,21,0.285,0.442
"488","AR(1)",21,31,0.501,0.748
"489","AR(1)",21,41,0.698,0.916
"490","AR(1)",21,51,0.807,0.968
"491","AR(1)",21,61,0.892,0.996
"492","AR(1)",21,71,0.958,0.998
"493","AR(1)",21,81,0.983,1
"494","AR(1)",21,91,0.995,1
"495","AR(1)",31,3,0.003,0.835
"496","AR(1)",31,4,0.046,0.06
"497","AR(1)",31,5,0.068,0.064
"498","AR(1)",31,6,0.073,0.072
"499","AR(1)",31,7,0.105,0.074
"500","AR(1)",31,8,0.09,0.079
"501","AR(1)",31,9,0.121,0.097
"502","AR(1)",31,10,0.118,0.11
"503","AR(1)",31,11,0.136,0.137
"504","AR(1)",31,21,0.239,0.409
"505","AR(1)",31,31,0.413,0.733
"506","AR(1)",31,41,0.546,0.857
"507","AR(1)",31,51,0.711,0.963
"508","AR(1)",31,61,0.836,0.979
"509","AR(1)",31,71,0.887,0.991
"510","AR(1)",31,81,0.951,0.999
"511","AR(1)",31,91,0.97,1
"512","AR(1)",41,3,0.001,0.903
"513","AR(1)",41,4,0.072,0.038
"514","AR(1)",41,5,0.084,0.069
"515","AR(1)",41,6,0.085,0.075
"516","AR(1)",41,7,0.086,0.069
"517","AR(1)",41,8,0.088,0.086
"518","AR(1)",41,9,0.106,0.08
"519","AR(1)",41,10,0.112,0.107
"520","AR(1)",41,11,0.107,0.108
"521","AR(1)",41,21,0.206,0.375
"522","AR(1)",41,31,0.346,0.657
"523","AR(1)",41,41,0.472,0.873
"524","AR(1)",41,51,0.569,0.941
"525","AR(1)",41,61,0.735,0.982
"526","AR(1)",41,71,0.829,0.996
"527","AR(1)",41,81,0.892,0.998
"528","AR(1)",41,91,0.95,0.998
"529","AR(1)",51,3,0.001,0.945
"530","AR(1)",51,4,0.056,0.047
"531","AR(1)",51,5,0.07,0.073
"532","AR(1)",51,6,0.071,0.065
"533","AR(1)",51,7,0.063,0.073
"534","AR(1)",51,8,0.09,0.083
"535","AR(1)",51,9,0.091,0.081
"536","AR(1)",51,10,0.106,0.096
"537","AR(1)",51,11,0.1,0.094
"538","AR(1)",51,21,0.212,0.359
"539","AR(1)",51,31,0.313,0.627
"540","AR(1)",51,41,0.435,0.836
"541","AR(1)",51,51,0.542,0.941
"542","AR(1)",51,61,0.662,0.977
"543","AR(1)",51,71,0.76,0.99
"544","AR(1)",51,81,0.858,0.999
"545","AR(1)",51,91,0.9,0.998
"546","AR(1)",61,3,0.001,0.968
"547","AR(1)",61,4,0.065,0.03
"548","AR(1)",61,5,0.079,0.098
"549","AR(1)",61,6,0.09,0.071
"550","AR(1)",61,7,0.089,0.055
"551","AR(1)",61,8,0.074,0.069
"552","AR(1)",61,9,0.095,0.071
"553","AR(1)",61,10,0.088,0.069
"554","AR(1)",61,11,0.092,0.091
"555","AR(1)",61,21,0.189,0.331
"556","AR(1)",61,31,0.265,0.618
"557","AR(1)",61,41,0.352,0.816
"558","AR(1)",61,51,0.491,0.923
"559","AR(1)",61,61,0.641,0.984
"560","AR(1)",61,71,0.709,0.988
"561","AR(1)",61,81,0.796,0.999
"562","AR(1)",61,91,0.856,0.997
"563","AR(1)",71,3,0.005,0.977
"564","AR(1)",71,4,0.058,0.04
"565","AR(1)",71,5,0.064,0.117
"566","AR(1)",71,6,0.085,0.066
"567","AR(1)",71,7,0.062,0.072
"568","AR(1)",71,8,0.074,0.065
"569","AR(1)",71,9,0.087,0.069
"570","AR(1)",71,10,0.077,0.08
"571","AR(1)",71,11,0.099,0.099
"572","AR(1)",71,21,0.147,0.31
"573","AR(1)",71,31,0.263,0.583
"574","AR(1)",71,41,0.343,0.829
"575","AR(1)",71,51,0.439,0.92
"576","AR(1)",71,61,0.564,0.972
"577","AR(1)",71,71,0.717,0.992
"578","AR(1)",71,81,0.722,0.997
"579","AR(1)",71,91,0.818,0.997
"580","AR(1)",81,3,0.002,0.989
"581","AR(1)",81,4,0.054,0.039
"582","AR(1)",81,5,0.074,0.113
"583","AR(1)",81,6,0.069,0.047
"584","AR(1)",81,7,0.07,0.049
"585","AR(1)",81,8,0.079,0.059
"586","AR(1)",81,9,0.086,0.078
"587","AR(1)",81,10,0.1,0.084
"588","AR(1)",81,11,0.1,0.095
"589","AR(1)",81,21,0.149,0.302
"590","AR(1)",81,31,0.228,0.577
"591","AR(1)",81,41,0.32,0.801
"592","AR(1)",81,51,0.422,0.904
"593","AR(1)",81,61,0.507,0.975
"594","AR(1)",81,71,0.598,0.983
"595","AR(1)",81,81,0.723,0.993
"596","AR(1)",81,91,0.798,0.999
"597","AR(1)",91,3,0.002,0.995
"598","AR(1)",91,4,0.06,0.029
"599","AR(1)",91,5,0.056,0.111
"600","AR(1)",91,6,0.063,0.057
"601","AR(1)",91,7,0.064,0.067
"602","AR(1)",91,8,0.082,0.056
"603","AR(1)",91,9,0.095,0.062
"604","AR(1)",91,10,0.092,0.081
"605","AR(1)",91,11,0.082,0.098
"606","AR(1)",91,21,0.146,0.298
"607","AR(1)",91,31,0.228,0.592
"608","AR(1)",91,41,0.273,0.781
"609","AR(1)",91,51,0.391,0.896
"610","AR(1)",91,61,0.464,0.966
"611","AR(1)",91,71,0.599,0.984
"612","AR(1)",91,81,0.68,0.998
"613","AR(1)",91,91,0.761,0.999
"614","AR(2)",2,3,0,0.192
"615","AR(2)",2,4,0.095,0.186
"616","AR(2)",2,5,0.183,0.179
"617","AR(2)",2,6,0.236,0.155
"618","AR(2)",2,7,0.349,0.221
"619","AR(2)",2,8,0.364,0.247
"620","AR(2)",2,9,0.441,0.327
"621","AR(2)",2,10,0.512,0.4
"622","AR(2)",2,11,0.553,0.434
"623","AR(2)",2,21,0.876,0.8
"624","AR(2)",2,31,0.968,0.936
"625","AR(2)",2,41,0.992,0.982
"626","AR(2)",2,51,0.997,0.996
"627","AR(2)",2,61,1,1
"628","AR(2)",2,71,1,1
"629","AR(2)",2,81,1,1
"630","AR(2)",2,91,1,1
"631","AR(2)",3,3,0,0.414
"632","AR(2)",3,4,0.138,0.299
"633","AR(2)",3,5,0.291,0.283
"634","AR(2)",3,6,0.461,0.451
"635","AR(2)",3,7,0.532,0.568
"636","AR(2)",3,8,0.61,0.665
"637","AR(2)",3,9,0.697,0.748
"638","AR(2)",3,10,0.755,0.819
"639","AR(2)",3,11,0.808,0.867
"640","AR(2)",3,21,0.991,0.997
"641","AR(2)",3,31,1,1
"642","AR(2)",3,41,1,1
"643","AR(2)",3,51,1,1
"644","AR(2)",3,61,1,1
"645","AR(2)",3,71,1,1
"646","AR(2)",3,81,1,1
"647","AR(2)",3,91,1,1
"648","AR(2)",4,3,0,0.478
"649","AR(2)",4,4,0.183,0.309
"650","AR(2)",4,5,0.334,0.281
"651","AR(2)",4,6,0.497,0.463
"652","AR(2)",4,7,0.564,0.593
"653","AR(2)",4,8,0.667,0.688
"654","AR(2)",4,9,0.725,0.784
"655","AR(2)",4,10,0.783,0.841
"656","AR(2)",4,11,0.864,0.91
"657","AR(2)",4,21,0.996,1
"658","AR(2)",4,31,1,1
"659","AR(2)",4,41,1,1
"660","AR(2)",4,51,1,1
"661","AR(2)",4,61,1,1
"662","AR(2)",4,71,1,1
"663","AR(2)",4,81,1,1
"664","AR(2)",4,91,1,1
"665","AR(2)",5,3,0,0.475
"666","AR(2)",5,4,0.172,0.266
"667","AR(2)",5,5,0.344,0.248
"668","AR(2)",5,6,0.443,0.41
"669","AR(2)",5,7,0.544,0.524
"670","AR(2)",5,8,0.638,0.679
"671","AR(2)",5,9,0.678,0.723
"672","AR(2)",5,10,0.766,0.814
"673","AR(2)",5,11,0.821,0.867
"674","AR(2)",5,21,0.999,1
"675","AR(2)",5,31,0.999,1
"676","AR(2)",5,41,1,1
