"","covariance_structures","correlation_abs","sample_sizes","power_global","power_max"
"153","Unstructured",0.8,81,"0.052","0.048"
"154","Unstructured",0.8,91,"0.046","0.049"
"155","Unstructured",0.9,3,"0","0.643"
"156","Unstructured",0.9,4,"0.035","0.065"
"157","Unstructured",0.9,5,"0.053","0.057"
"158","Unstructured",0.9,6,"0.043","0.053"
"159","Unstructured",0.9,7,"0.05","0.065"
"160","Unstructured",0.9,8,"0.055","0.055"
"161","Unstructured",0.9,9,"0.046","0.053"
"162","Unstructured",0.9,10,"0.057","0.041"
"163","Unstructured",0.9,11,"0.057","0.058"
"164","Unstructured",0.9,21,"0.05","0.04"
"165","Unstructured",0.9,31,"0.044","0.044"
"166","Unstructured",0.9,41,"0.067","0.047"
"167","Unstructured",0.9,51,"0.044","0.048"
"168","Unstructured",0.9,61,"0.051","0.04"
"169","Unstructured",0.9,71,"0.054","0.053"
"170","Unstructured",0.9,81,"0.052","0.043"
"171","Unstructured",0.9,91,"0.054","0.057"
"172","Unstructured",1,3,"0","0.636"
"173","Unstructured",1,4,"0.034","0.069"
"174","Unstructured",1,5,"0.046","0.061"
"175","Unstructured",1,6,"0.051","0.075"
"176","Unstructured",1,7,"0.053","0.057"
"177","Unstructured",1,8,"0.045","0.035"
"178","Unstructured",1,9,"0.05","0.045"
"179","Unstructured",1,10,"0.055","0.042"
"180","Unstructured",1,11,"0.053","0.054"
"181","Unstructured",1,21,"0.07","0.052"
"182","Unstructured",1,31,"0.049","0.044"
"183","Unstructured",1,41,"0.041","0.042"
"184","Unstructured",1,51,"0.048","0.048"
"185","Unstructured",1,61,"0.051","0.053"
"186","Unstructured",1,71,"0.056","0.062"
"187","Unstructured",1,81,"0.049","0.046"
"188","Unstructured",1,91,"0.046","0.05"
"189","AR(1)",0,3,"0.001","0.671"
"190","AR(1)",0,4,"0.065","0.082"
"191","AR(1)",0,5,"0.081","0.095"
"192","AR(1)",0,6,"0.131","0.095"
"193","AR(1)",0,7,"0.138","0.093"
"194","AR(1)",0,8,"0.135","0.133"
"195","AR(1)",0,9,"0.169","0.147"
"196","AR(1)",0,10,"0.178","0.141"
"197","AR(1)",0,11,"0.174","0.15"
"198","AR(1)",0,21,"0.401","0.467"
"199","AR(1)",0,31,"0.632","0.724"
"200","AR(1)",0,41,"0.766","0.877"
"201","AR(1)",0,51,"0.886","0.954"
"202","AR(1)",0,61,"0.941","0.985"
"203","AR(1)",0,71,"0.971","0.995"
"204","AR(1)",0,81,"0.989","0.997"
"205","AR(1)",0,91,"0.995","1"
"206","AR(1)",0.1,3,"0","0.664"
"207","AR(1)",0.1,4,"0.061","0.072"
"208","AR(1)",0.1,5,"0.09","0.064"
"209","AR(1)",0.1,6,"0.102","0.089"
"210","AR(1)",0.1,7,"0.122","0.085"
"211","AR(1)",0.1,8,"0.127","0.119"
"212","AR(1)",0.1,9,"0.147","0.098"
"213","AR(1)",0.1,10,"0.201","0.153"
"214","AR(1)",0.1,11,"0.217","0.172"
"215","AR(1)",0.1,21,"0.412","0.453"
"216","AR(1)",0.1,31,"0.613","0.739"
"217","AR(1)",0.1,41,"0.77","0.889"
"218","AR(1)",0.1,51,"0.9","0.97"
"219","AR(1)",0.1,61,"0.946","0.987"
"220","AR(1)",0.1,71,"0.971","0.996"
"221","AR(1)",0.1,81,"0.99","0.998"
"222","AR(1)",0.1,91,"0.998","0.999"
"223","AR(1)",0.2,3,"0.002","0.669"
"224","AR(1)",0.2,4,"0.075","0.075"
"225","AR(1)",0.2,5,"0.095","0.096"
"226","AR(1)",0.2,6,"0.119","0.097"
"227","AR(1)",0.2,7,"0.118","0.091"
"228","AR(1)",0.2,8,"0.131","0.097"
"229","AR(1)",0.2,9,"0.17","0.138"
"230","AR(1)",0.2,10,"0.174","0.151"
"231","AR(1)",0.2,11,"0.192","0.156"
"232","AR(1)",0.2,21,"0.4","0.476"
"233","AR(1)",0.2,31,"0.621","0.764"
"234","AR(1)",0.2,41,"0.764","0.892"
"235","AR(1)",0.2,51,"0.883","0.961"
"236","AR(1)",0.2,61,"0.94","0.991"
"237","AR(1)",0.2,71,"0.979","0.997"
"238","AR(1)",0.2,81,"0.989","0.998"
"239","AR(1)",0.2,91,"0.997","0.999"
"240","AR(1)",0.3,3,"0","0.674"
"241","AR(1)",0.3,4,"0.067","0.078"
"242","AR(1)",0.3,5,"0.096","0.078"
"243","AR(1)",0.3,6,"0.114","0.077"
"244","AR(1)",0.3,7,"0.126","0.11"
"245","AR(1)",0.3,8,"0.157","0.126"
"246","AR(1)",0.3,9,"0.162","0.12"
"247","AR(1)",0.3,10,"0.159","0.142"
"248","AR(1)",0.3,11,"0.198","0.169"
"249","AR(1)",0.3,21,"0.382","0.482"
"250","AR(1)",0.3,31,"0.602","0.748"
"251","AR(1)",0.3,41,"0.79","0.916"
"252","AR(1)",0.3,51,"0.89","0.971"
"253","AR(1)",0.3,61,"0.947","0.991"
"254","AR(1)",0.3,71,"0.969","0.996"
"255","AR(1)",0.3,81,"0.991","1"
"256","AR(1)",0.3,91,"0.996","1"
"257","AR(1)",0.4,3,"0","0.683"
"258","AR(1)",0.4,4,"0.062","0.072"
"259","AR(1)",0.4,5,"0.075","0.054"
"260","AR(1)",0.4,6,"0.11","0.095"
"261","AR(1)",0.4,7,"0.104","0.087"
"262","AR(1)",0.4,8,"0.12","0.114"
"263","AR(1)",0.4,9,"0.127","0.124"
"264","AR(1)",0.4,10,"0.14","0.13"
"265","AR(1)",0.4,11,"0.182","0.187"
"266","AR(1)",0.4,21,"0.38","0.493"
"267","AR(1)",0.4,31,"0.557","0.73"
"268","AR(1)",0.4,41,"0.744","0.905"
"269","AR(1)",0.4,51,"0.884","0.971"
"270","AR(1)",0.4,61,"0.949","0.994"
"271","AR(1)",0.4,71,"0.981","0.998"
"272","AR(1)",0.4,81,"0.996","0.998"
"273","AR(1)",0.4,91,"0.997","1"
"274","AR(1)",0.5,3,"0","0.686"
"275","AR(1)",0.5,4,"0.065","0.071"
"276","AR(1)",0.5,5,"0.09","0.077"
"277","AR(1)",0.5,6,"0.101","0.086"
"278","AR(1)",0.5,7,"0.107","0.092"
"279","AR(1)",0.5,8,"0.113","0.093"
"280","AR(1)",0.5,9,"0.136","0.11"
"281","AR(1)",0.5,10,"0.133","0.134"
"282","AR(1)",0.5,11,"0.154","0.185"
"283","AR(1)",0.5,21,"0.342","0.487"
"284","AR(1)",0.5,31,"0.546","0.765"
"285","AR(1)",0.5,41,"0.748","0.935"
"286","AR(1)",0.5,51,"0.855","0.969"
"287","AR(1)",0.5,61,"0.93","0.995"
"288","AR(1)",0.5,71,"0.974","0.998"
"289","AR(1)",0.5,81,"0.991","0.999"
"290","AR(1)",0.5,91,"0.996","1"
"291","AR(1)",0.6,3,"0","0.657"
"292","AR(1)",0.6,4,"0.065","0.057"
"293","AR(1)",0.6,5,"0.097","0.07"
"294","AR(1)",0.6,6,"0.082","0.084"
"295","AR(1)",0.6,7,"0.119","0.103"
"296","AR(1)",0.6,8,"0.107","0.105"
"297","AR(1)",0.6,9,"0.145","0.153"
"298","AR(1)",0.6,10,"0.142","0.165"
"299","AR(1)",0.6,11,"0.137","0.167"
"300","AR(1)",0.6,21,"0.315","0.487"
"301","AR(1)",0.6,31,"0.538","0.787"
"302","AR(1)",0.6,41,"0.696","0.927"
"303","AR(1)",0.6,51,"0.848","0.975"
"304","AR(1)",0.6,61,"0.941","0.994"
"305","AR(1)",0.6,71,"0.966","0.999"
"306","AR(1)",0.6,81,"0.987","1"
"307","AR(1)",0.6,91,"0.996","1"
"308","AR(1)",0.7,3,"0","0.631"
"309","AR(1)",0.7,4,"0.073","0.072"
"310","AR(1)",0.7,5,"0.083","0.076"
"311","AR(1)",0.7,6,"0.096","0.084"
"312","AR(1)",0.7,7,"0.129","0.094"
"313","AR(1)",0.7,8,"0.12","0.109"
"314","AR(1)",0.7,9,"0.13","0.15"
"315","AR(1)",0.7,10,"0.139","0.156"
"316","AR(1)",0.7,11,"0.165","0.202"
"317","AR(1)",0.7,21,"0.266","0.525"
"318","AR(1)",0.7,31,"0.478","0.783"
"319","AR(1)",0.7,41,"0.669","0.93"
"320","AR(1)",0.7,51,"0.816","0.978"
"321","AR(1)",0.7,61,"0.937","0.998"
"322","AR(1)",0.7,71,"0.979","1"
"323","AR(1)",0.7,81,"0.993","0.999"
"324","AR(1)",0.7,91,"0.997","1"
"325","AR(1)",0.8,3,"0","0.615"
"326","AR(1)",0.8,4,"0.059","0.074"
"327","AR(1)",0.8,5,"0.094","0.088"
"328","AR(1)",0.8,6,"0.119","0.114"
"329","AR(1)",0.8,7,"0.113","0.084"
"330","AR(1)",0.8,8,"0.114","0.109"
"331","AR(1)",0.8,9,"0.103","0.134"
"332","AR(1)",0.8,10,"0.154","0.187"
"333","AR(1)",0.8,11,"0.15","0.211"
"334","AR(1)",0.8,21,"0.268","0.609"
"335","AR(1)",0.8,31,"0.478","0.855"
"336","AR(1)",0.8,41,"0.703","0.958"
"337","AR(1)",0.8,51,"0.847","0.993"
"338","AR(1)",0.8,61,"0.943","0.998"
"339","AR(1)",0.8,71,"0.984","1"
"340","AR(1)",0.8,81,"0.999","1"
"341","AR(1)",0.8,91,"1","1"
"342","AR(1)",0.9,3,"0","0.591"
"343","AR(1)",0.9,4,"0.064","0.072"
"344","AR(1)",0.9,5,"0.116","0.087"
"345","AR(1)",0.9,6,"0.113","0.111"
"346","AR(1)",0.9,7,"0.13","0.132"
"347","AR(1)",0.9,8,"0.128","0.156"
"348","AR(1)",0.9,9,"0.167","0.206"
"349","AR(1)",0.9,10,"0.164","0.22"
"350","AR(1)",0.9,11,"0.177","0.278"
"351","AR(1)",0.9,21,"0.385","0.758"
"352","AR(1)",0.9,31,"0.638","0.944"
"353","AR(1)",0.9,41,"0.848","0.999"
"354","AR(1)",0.9,51,"0.966","0.998"
"355","AR(1)",0.9,61,"0.994","1"
"356","AR(1)",0.9,71,"1","1"
"357","AR(1)",0.9,81,"1","1"
"358","AR(1)",0.9,91,"1","1"
"359","AR(1)",1,3,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"360","AR(1)",1,4,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"361","AR(1)",1,5,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"362","AR(1)",1,6,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"363","AR(1)",1,7,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"364","AR(1)",1,8,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"365","AR(1)",1,9,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"366","AR(1)",1,10,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"367","AR(1)",1,11,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"368","AR(1)",1,21,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"369","AR(1)",1,31,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"370","AR(1)",1,41,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"371","AR(1)",1,51,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"372","AR(1)",1,61,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"373","AR(1)",1,71,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"374","AR(1)",1,81,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"375","AR(1)",1,91,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"376","AR(2)",0,3,"0.001","0.679"
"377","AR(2)",0,4,"0.07","0.075"
"378","AR(2)",0,5,"0.095","0.091"
"379","AR(2)",0,6,"0.101","0.072"
"380","AR(2)",0,7,"0.144","0.082"
"381","AR(2)",0,8,"0.138","0.104"
"382","AR(2)",0,9,"0.143","0.105"
"383","AR(2)",0,10,"0.167","0.144"
"384","AR(2)",0,11,"0.185","0.162"
